event_id,case_id,event_type,occurred_at,agent_id,note
E_beta0010002,T00100,customer_reply,2026-01-12T08:58:02.010181Z,AG00006,
E_beta0010003,T00100,agent_note,2026-01-11T11:27:23.254323Z,AG00004,
E_beta0010004,T00100,status_change,2026-01-10T03:15:43.312944Z,AG00009,
E_beta0010100,T00101,created,2026-01-30T19:37:10Z,AG00011,
E_beta0010101,T00101,assigned,2026-02-01T00:13:58.648300Z,AG00010,
E_beta0010102,T00101,customer_reply,2026-02-02T05:31:18.835265Z,AG00012,
E_beta0010200,T00102,created,2026-03-01T22:48:41Z,AG00022,
E_beta0010201,T00102,assigned,2026-03-02T15:23:13.754656Z,AG00020,
E_beta0010202,T00102,customer_reply,2026-03-04T05:03:42.636887Z,AG00015,
E_beta0010203,T00102,agent_note,2026-03-02T07:25:17.833364Z,AG00008,
E_beta0010204,T00102,status_change,2026-03-03T21:12:48.421456Z,AG00003,
E_beta0010300,T00103,created,2026-03-18T06:30:59Z,AG00018,
E_beta0010301,T00103,assigned,2026-03-19T19:33:49.046017Z,AG00023,
E_beta0010302,T00103,customer_reply,2026-03-18T06:42:06.391199Z,AG00002,
E_beta0010303,T00103,agent_note,2026-03-18T12:56:13.005792Z,AG00001,
E_beta0010400,T00104,created,2026-02-07T23:41:58Z,AG00017,
E_beta0010401,T00104,assigned,2026-02-09T21:18:58.897388Z,AG00019,
E_beta0010500,T00105,created,2026-01-22T20:23:17Z,AG00004,
E_beta0010501,T00105,assigned,2026-01-24T17:20:28.363485Z,AG00013,
E_beta0010502,T00105,customer_reply,2026-01-25T05:04:27.684094Z,AG00014,
E_beta0010503,T00105,agent_note,2026-01-22T21:26:06.373042Z,AG00013,
E_beta0010504,T00105,status_change,2026-01-24T22:55:02.873003Z,AG00018,
E_beta0010600,T00106,created,2026-03-12T19:15:25Z,AG00007,
E_beta0010601,T00106,assigned,2026-03-13T17:41:24.111192Z,AG00022,
E_beta0010602,T00106,customer_reply,2026-03-14T20:47:13.491535Z,AG00005,
E_beta0010603,T00106,agent_note,2026-03-12T19:58:25.873158Z,AG00013,
E_beta0010604,T00106,status_change,2026-03-15T02:54:04.488235Z,AG00012,
E_beta0010700,T00107,created,2026-01-08T02:25:33Z,AG00002,
E_beta0010701,T00107,assigned,2026-01-09T04:47:49.773592Z,AG00012,
E_beta0010702,T00107,customer_reply,2026-01-09T09:12:21.292622Z,AG00017,
E_beta0010703,T00107,agent_note,2026-01-10T13:27:17.032310Z,AG00003,
E_beta0010704,T00107,status_change,2026-01-10T07:25:06.704981Z,AG00012,
E_beta0010800,T00108,created,2026-02-01T19:57:02Z,AG00006,
E_beta0010801,T00108,assigned,2026-02-02T14:36:01.852005Z,AG00018,
E_beta0010802,T00108,customer_reply,2026-02-02T10:40:07.626193Z,AG00018,
E_beta0010803,T00108,agent_note,2026-02-02T19:10:42.821123Z,AG00004,
E_beta0010900,T00109,created,2026-01-01T05:38:08Z,AG00014,
E_beta0010901,T00109,assigned,2026-01-02T12:20:40.106100Z,AG00024,
E_beta0011000,T00110,created,2026-01-02T17:33:02Z,AG00010,
E_beta0011001,T00110,assigned,2026-01-02T18:04:35.467355Z,AG00009,
E_beta0011002,T00110,customer_reply,2026-01-04T02:35:50.972993Z,AG00009,
E_beta0011100,T00111,created,2026-03-16T09:17:32Z,AG00009,
E_beta0011101,T00111,assigned,2026-03-18T11:30:07.519708Z,AG00012,
E_beta0011200,T00112,created,2026-02-18T12:33:14Z,AG00018,
E_beta0011201,T00112,assigned,2026-02-20T01:25:56.732506Z,AG00003,
E_beta0011300,T00113,created,2026-03-02T01:16:26Z,AG00014,
E_beta0011301,T00113,assigned,2026-03-02T15:10:18.887941Z,AG00001,
E_beta0011302,T00113,customer_reply,2026-03-03T04:01:45.594345Z,AG00018,
E_beta0011400,T00114,created,2026-01-26T06:39:38Z,AG00017,
E_beta0011401,T00114,assigned,2026-01-26T23:34:53.340014Z,AG00018,
E_beta0011402,T00114,customer_reply,2026-01-28T09:59:54.606373Z,AG00010,
E_beta0011500,T00115,created,2026-01-21T17:09:41Z,AG00013,
E_beta0011501,T00115,assigned,2026-01-23T10:33:24.622008Z,AG00010,
E_beta0011502,T00115,customer_reply,2026-01-22T23:24:36.554871Z,AG00008,
E_beta0011600,T00116,created,2026-01-19T21:13:31Z,AG00015,
E_beta0011601,T00116,assigned,2026-01-20T20:28:09.190998Z,AG00002,
E_beta0011602,T00116,customer_reply,2026-01-22T02:09:34.385323Z,AG00007,
E_beta0011700,T00117,created,2026-01-04T22:06:29Z,AG00012,
E_beta0011701,T00117,assigned,2026-01-06T21:17:53.884952Z,AG00020,
E_beta0011800,T00118,created,2026-01-27T20:29:28Z,AG00005,
E_beta0011801,T00118,assigned,2026-01-30T01:38:44.566272Z,AG00008,
E_beta0011802,T00118,customer_reply,2026-01-28T17:58:13.176904Z,AG00005,
E_beta0011803,T00118,agent_note,2026-01-30T07:30:42.956558Z,AG00007,
E_beta0011900,T00119,created,2026-02-07T10:22:29Z,AG00008,
E_beta0011901,T00119,assigned,2026-02-08T15:21:43.016399Z,AG00018,
E_beta0011902,T00119,customer_reply,2026-02-09T14:11:44.232470Z,AG00008,
E_beta0012000,T00120,created,2026-02-05T15:05:05Z,AG00020,
E_beta0012001,T00120,assigned,2026-02-06T16:55:23.946214Z,AG00016,
E_beta0012002,T00120,customer_reply,2026-02-06T17:05:50.568322Z,AG00016,
E_beta0012003,T00120,agent_note,2026-02-06T11:59:45.619047Z,AG00012,
E_beta0012004,T00120,status_change,2026-02-07T10:01:33.395820Z,AG00019,
E_beta0012100,T00121,created,2026-03-06T10:12:23Z,AG00014,
E_beta0012101,T00121,assigned,2026-03-08T06:28:11.438251Z,AG00019,
E_beta0012102,T00121,customer_reply,2026-03-07T19:07:21.975602Z,AG00002,
E_beta0012200,T00122,created,2026-01-22T12:40:07Z,AG00012,
E_beta0012201,T00122,assigned,2026-01-23T18:54:50.087479Z,AG00015,
E_beta0012300,T00123,created,2026-03-12T23:48:22Z,AG00012,
E_beta0012301,T00123,assigned,2026-03-15T06:32:32.276853Z,AG00003,
E_beta0012302,T00123,customer_reply,2026-03-13T10:24:41.635382Z,AG00017,
E_beta0012400,T00124,created,2026-03-07T03:16:16Z,AG00003,
E_beta0012401,T00124,assigned,2026-03-08T18:47:54.352762Z,AG00021,
E_beta0012402,T00124,customer_reply,2026-03-09T07:31:53.247319Z,AG00012,
E_beta0012403,T00124,agent_note,2026-03-09T01:36:44.533208Z,AG00014,
E_beta0012404,T00124,status_change,2026-03-07T10:31:59.574552Z,AG00007,
E_beta0012500,T00125,created,2026-02-18T05:36:29Z,AG00006,
E_beta0012501,T00125,assigned,2026-02-18T07:46:13.917747Z,AG00001,
E_beta0012502,T00125,customer_reply,2026-02-18T07:32:13.434029Z,AG00002,
E_beta0012600,T00126,created,2026-01-23T19:48:20Z,AG00012,
E_beta0012601,T00126,assigned,2026-01-25T15:37:14.382076Z,AG00002,
E_beta0012602,T00126,customer_reply,2026-01-25T07:52:19.203768Z,AG00010,
E_beta0012700,T00127,created,2026-01-02T04:26:50Z,AG00006,
E_beta0012701,T00127,assigned,2026-01-02T07:27:01.212533Z,AG00023,
E_beta0012702,T00127,customer_reply,2026-01-04T00:44:57.491859Z,AG00009,
E_beta0012703,T00127,agent_note,2026-01-03T20:10:25.285487Z,AG00021,
E_beta0012704,T00127,status_change,2026-01-03T16:46:45.348466Z,AG00009,
E_beta0012800,T00128,created,2026-01-11T21:20:57Z,AG00009,
E_beta0012801,T00128,assigned,2026-01-12T19:59:26.695537Z,AG00010,
E_beta0012802,T00128,customer_reply,2026-01-13T12:19:46.856786Z,AG00015,
E_beta0012900,T00129,created,2026-03-11T09:11:40Z,AG00018,
E_beta0012901,T00129,assigned,2026-03-13T06:10:23.523869Z,AG00015,
E_beta0012902,T00129,customer_reply,2026-03-11T20:40:08.785534Z,AG00006,
E_beta0012903,T00129,agent_note,2026-03-13T02:46:49.210361Z,AG00011,
E_beta0012904,T00129,status_change,2026-03-12T15:47:11.361543Z,AG00020,
E_beta0013000,T00130,created,2026-03-06T01:18:54Z,AG00008,
E_beta0013001,T00130,assigned,2026-03-06T08:51:24.674424Z,AG00011,
E_beta0013002,T00130,customer_reply,2026-03-07T18:31:27.821209Z,AG00020,
